cluster_id,account_count,account_ids,shared_devices,shared_ips,shared_beneficiaries,Ndev,Nben,Nip,Ntemp,Nbeh,Trel,cluster_risk,severity,confidence
CLUSTER_001,2,A001;A002,,IP01,,0,0,1,1,0,1,15.0,LOW,0.3983
CLUSTER_002,2,A003;A004,,IP02,,0,0,1,1,0,1,15.0,LOW,0.3983
CLUSTER_003,2,A005;A006,,IP03,,0,0,1,1,0,1,15.0,LOW,0.3983
CLUSTER_004,2,A007;A008,,IP04,,0,0,1,1,0,1,15.0,LOW,0.3983
CLUSTER_005,2,A009;A010,,IP05,,0,0,1,1,0,1,15.0,LOW,0.3983
CLUSTER_006,10,A101;A102;A103;A104;A105;A106;A107;A108;A109;A110,D20;D21;D22;D23,IP20;IP21;IP22;IP23,B900;B901,4,2,4,17,4,3,100.0,HIGH,1.0
CLUSTER_007,10,A201;A202;A203;A204;A205;A206;A207;A208;A209;A210,D30;D31;D32;D33,IP30;IP31;IP32;IP33,B950;B951,4,2,4,17,4,3,100.0,HIGH,1.0
CLUSTER_008,2,A301;A302,,IP40,,0,0,1,1,1,1,52.0,MEDIUM,0.5933
CLUSTER_009,2,A303;A304,,IP41,,0,0,1,1,0,1,38.0,MEDIUM,0.3983
CLUSTER_010,2,A305;A306,,IP42,,0,0,1,1,0,1,38.0,MEDIUM,0.3983
CLUSTER_011,2,A307;A308,,IP43,,0,0,1,1,0,1,38.0,MEDIUM,0.3983
CLUSTER_012,2,A309;A310,,IP44,,0,0,1,1,1,1,52.0,MEDIUM,0.5933
CLUSTER_013,10,A401;A402;A403;A404;A405;A406;A407;A408;A409;A410,,IP50;IP51;IP52;IP53;IP54,B980;B981,0,2,5,14,3,2,90.0,HIGH,0.8667
