account_id,risk_score,risk_level,risk_features,scenario_id,ground_truth_cluster
A001,0,LOW,normal_amount;normal_frequency;shared_office_network,LEGIT_SHARED,NONE
A002,0,LOW,normal_amount;normal_frequency;shared_office_network,LEGIT_SHARED,NONE
A003,0,LOW,normal_amount;normal_frequency;shared_office_network,LEGIT_SHARED,NONE
A004,0,LOW,normal_amount;normal_frequency;shared_office_network,LEGIT_SHARED,NONE
A005,0,LOW,normal_amount;normal_frequency;shared_office_network,LEGIT_SHARED,NONE
A006,0,LOW,normal_amount;normal_frequency;shared_office_network,LEGIT_SHARED,NONE
A007,0,LOW,normal_amount;normal_frequency;shared_office_network,LEGIT_SHARED,NONE
A008,0,LOW,normal_amount;normal_frequency;shared_office_network,LEGIT_SHARED,NONE
A009,0,LOW,normal_amount;normal_frequency;shared_office_network,LEGIT_SHARED,NONE
A010,0,LOW,normal_amount;normal_frequency;shared_office_network,LEGIT_SHARED,NONE
A101,105,HIGH,high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary,FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A102,105,HIGH,high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary,FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A103,105,HIGH,high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary,FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A104,105,HIGH,high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary,FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A105,105,HIGH,high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary,FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A106,105,HIGH,high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary,FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A107,105,HIGH,high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary,FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A108,105,HIGH,high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary,FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A109,105,HIGH,high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary,FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A110,105,HIGH,high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary,FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A201,105,HIGH,high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary,FRAUD_EVASIVE,FRAUD_CLUSTER_02
A202,105,HIGH,high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary,FRAUD_EVASIVE,FRAUD_CLUSTER_02
A203,105,HIGH,high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary,FRAUD_EVASIVE,FRAUD_CLUSTER_02
A204,105,HIGH,high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary,FRAUD_EVASIVE,FRAUD_CLUSTER_02
A205,105,HIGH,high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary,FRAUD_EVASIVE,FRAUD_CLUSTER_02
A206,105,HIGH,high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary,FRAUD_EVASIVE,FRAUD_CLUSTER_02
A207,105,HIGH,high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary,FRAUD_EVASIVE,FRAUD_CLUSTER_02
A208,105,HIGH,high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary,FRAUD_EVASIVE,FRAUD_CLUSTER_02
A209,105,HIGH,high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary,FRAUD_EVASIVE,FRAUD_CLUSTER_02
A210,105,HIGH,high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary,FRAUD_EVASIVE,FRAUD_CLUSTER_02
A301,25,LOW,high_amount;normal_frequency,LEGIT_BORDERLINE,NONE
A302,40,MEDIUM,high_amount;shared_ip,LEGIT_BORDERLINE,NONE
A303,25,LOW,high_amount;normal_frequency,LEGIT_BORDERLINE,NONE
A304,15,LOW,shared_ip;normal_frequency,LEGIT_BORDERLINE,NONE
A305,25,LOW,high_amount;normal_frequency,LEGIT_BORDERLINE,NONE
A306,15,LOW,shared_ip;normal_frequency,LEGIT_BORDERLINE,NONE
A307,25,LOW,high_amount;normal_frequency,LEGIT_BORDERLINE,NONE
A308,15,LOW,shared_ip;normal_frequency,LEGIT_BORDERLINE,NONE
A309,40,MEDIUM,high_amount;shared_ip,LEGIT_BORDERLINE,NONE
A310,25,LOW,high_amount;normal_frequency,LEGIT_BORDERLINE,NONE
A401,25,LOW,high_amount;shared_beneficiary,FRAUD_MIXED,FRAUD_CLUSTER_03
A402,35,MEDIUM,high_frequency;shared_ip;shared_beneficiary,FRAUD_MIXED,FRAUD_CLUSTER_03
A403,25,LOW,high_amount;shared_beneficiary,FRAUD_MIXED,FRAUD_CLUSTER_03
A404,35,MEDIUM,high_frequency;shared_ip;shared_beneficiary,FRAUD_MIXED,FRAUD_CLUSTER_03
A405,45,MEDIUM,high_amount;shared_device;shared_beneficiary,FRAUD_MIXED,FRAUD_CLUSTER_03
A406,20,LOW,shared_device;shared_beneficiary,FRAUD_MIXED,FRAUD_CLUSTER_03
A407,45,MEDIUM,high_amount;rapid_transactions;shared_beneficiary,FRAUD_MIXED,FRAUD_CLUSTER_03
A408,20,LOW,high_frequency;shared_beneficiary,FRAUD_MIXED,FRAUD_CLUSTER_03
A409,40,MEDIUM,high_amount;shared_ip;shared_beneficiary,FRAUD_MIXED,FRAUD_CLUSTER_03
A410,35,MEDIUM,shared_ip;shared_beneficiary;rapid_transactions,FRAUD_MIXED,FRAUD_CLUSTER_03
