account_id,device_id,ip_id,beneficiary_id,timestamp,amount,behavior_features,scenario_id,ground_truth_cluster
A001,D01,IP01,B001,2026-09-24T09:10:00,4500,"normal_amount;normal_frequency;shared_office_network",LEGIT_SHARED,NONE
A002,D02,IP01,B002,2026-09-24T09:25:00,3200,"normal_amount;normal_frequency;shared_office_network",LEGIT_SHARED,NONE
A003,D03,IP02,B003,2026-09-24T10:05:00,5800,"normal_amount;normal_frequency;shared_office_network",LEGIT_SHARED,NONE
A004,D04,IP02,B004,2026-09-24T10:30:00,2100,"normal_amount;normal_frequency;shared_office_network",LEGIT_SHARED,NONE
A005,D05,IP03,B005,2026-09-24T11:15:00,6700,"normal_amount;normal_frequency;shared_office_network",LEGIT_SHARED,NONE
A006,D06,IP03,B006,2026-09-24T11:40:00,3900,"normal_amount;normal_frequency;shared_office_network",LEGIT_SHARED,NONE
A007,D07,IP04,B007,2026-09-24T12:05:00,5200,"normal_amount;normal_frequency;shared_office_network",LEGIT_SHARED,NONE
A008,D08,IP04,B008,2026-09-24T12:20:00,4100,"normal_amount;normal_frequency;shared_office_network",LEGIT_SHARED,NONE
A009,D09,IP05,B009,2026-09-24T12:45:00,7300,"normal_amount;normal_frequency;shared_office_network",LEGIT_SHARED,NONE
A010,D10,IP05,B010,2026-09-24T13:00:00,2900,"normal_amount;normal_frequency;shared_office_network",LEGIT_SHARED,NONE

A101,D20,IP20,B900,2026-09-24T13:05:00,18500,"high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary",FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A102,D20,IP20,B900,2026-09-24T13:12:00,19200,"high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary",FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A103,D20,IP20,B901,2026-09-24T13:20:00,17600,"high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary",FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A104,D21,IP21,B900,2026-09-24T13:35:00,22100,"high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary",FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A105,D21,IP21,B900,2026-09-24T13:42:00,19800,"high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary",FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A106,D21,IP21,B901,2026-09-24T13:50:00,23400,"high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary",FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A107,D22,IP22,B900,2026-09-24T14:05:00,18700,"high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary",FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A108,D22,IP22,B901,2026-09-24T14:12:00,20500,"high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary",FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A109,D23,IP23,B900,2026-09-24T14:20:00,21900,"high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary",FRAUD_OBVIOUS,FRAUD_CLUSTER_01
A110,D23,IP23,B901,2026-09-24T14:28:00,24100,"high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary",FRAUD_OBVIOUS,FRAUD_CLUSTER_01

A201,D30,IP30,B950,2026-09-24T15:05:00,16500,"high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary",FRAUD_EVASIVE,FRAUD_CLUSTER_02
A202,D30,IP30,B950,2026-09-24T15:12:00,17200,"high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary",FRAUD_EVASIVE,FRAUD_CLUSTER_02
A203,D30,IP30,B951,2026-09-24T15:20:00,15800,"high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary",FRAUD_EVASIVE,FRAUD_CLUSTER_02
A204,D31,IP31,B950,2026-09-24T15:35:00,18900,"high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary",FRAUD_EVASIVE,FRAUD_CLUSTER_02
A205,D31,IP31,B950,2026-09-24T15:42:00,18100,"high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary",FRAUD_EVASIVE,FRAUD_CLUSTER_02
A206,D31,IP31,B951,2026-09-24T15:50:00,19700,"high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary",FRAUD_EVASIVE,FRAUD_CLUSTER_02
A207,D32,IP32,B950,2026-09-24T16:05:00,16300,"high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary",FRAUD_EVASIVE,FRAUD_CLUSTER_02
A208,D32,IP32,B951,2026-09-24T16:12:00,17400,"high_amount;high_frequency;shared_device;shared_ip;suspicious_beneficiary",FRAUD_EVASIVE,FRAUD_CLUSTER_02
A209,D33,IP33,B950,2026-09-24T16:20:00,19100,"high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary",FRAUD_EVASIVE,FRAUD_CLUSTER_02
A210,D33,IP33,B951,2026-09-24T16:28:00,18600,"high_amount;rapid_transactions;shared_device;shared_ip;suspicious_beneficiary",FRAUD_EVASIVE,FRAUD_CLUSTER_02

A301,D40,IP40,B301,2026-09-24T17:05:00,18000,"high_amount;normal_frequency",LEGIT_BORDERLINE,NONE
